id,name,tagline,first_brewed,description,image_url,abv,ibu,ebc,srm,ph,ingredients,food_pairing,contributed_by,malts,hops,yeast
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),Session Farmhouse IPA - Stone / Magic Rock Collab.,06/2014,"A session IPA brewed with a diverse grain bill, hopped with Simcoe and Amarillo and fermented with saison yeast, for an incredible level of depth in a low ABV beer. Spicy, fruity, complex, refreshing and dry.",https://images.punkapi.com/v2/61.png,4.6,30.0,15.0,7.5,4.4,"Extra Pale, Wheat, Torrified Wheat, Rye, Flaked Oats, Amber Simcoe, Amarillo Wyeast 3711 - French Saison™","Halibut with caper brown butter, Creamy gorgonzola and satsuma salad, Spicy Daal with garlic naan bread",Sam Mason,"Extra Pale, Wheat, Torrified Wheat, Rye, Flaked Oats, Amber","Simcoe, Amarillo",Wyeast 3711 - French Saison™
62,AB:08,Deconstructed Blonde Imperial Stout.,11/2011,"Flavours and aromas you'd expect from a Stout, but brewed without dark malts. The full mouthfeel comes courtesy of wheat and oats, while smoked malt and the twist additions add the complex flavours normally provided by highly kilned malts.",https://images.punkapi.com/v2/62.png,10.43,65.0,23.0,11.5,4.4,"Maris Otter Extra Pale, Wheat, Flaked Oats, Smoked Peaty First Gold, First Gold, Coffee Beans Wyeast 1272 - American Ale II™","Caramelised scallops with burnt apple puree, Blackened Cajun chicken, Blondies with chocolate fudge sauce",Sam Mason,"Maris Otter Extra Pale, Wheat, Flaked Oats, Smoked Peaty","First Gold, First Gold, Coffee Beans",Wyeast 1272 - American Ale II™
63,Sunk Punk,Ocean Fermented Lager.,09/2011,"It's rumoured just a drop can calm the fiercest of storms. A balance of sweet, salt and savoury, citrus, spruce and caramel. Fermented at the bottom of the North Sea, which just so happens to be the perfect temperature for lagers to ferment.",https://images.punkapi.com/v2/63.png,7.1,68.0,14.0,7.0,4.4,"Extra Pale Chinook, Ahtanum, Chinook, Ahtanum, Chinook, Ahtanum, Simcoe, Nelson Sauvin Wyeast 2007 - Pilsen Lager™","Salt baked cod with lemon and dill butter, Beef, oyster and ale pie, Apple and rosemary tart",Sam Mason,Extra Pale,"Chinook, Ahtanum, Chinook, Ahtanum, Chinook, Ahtanum, Simcoe, Nelson Sauvin",Wyeast 2007 - Pilsen Lager™
64,Sub Hop,Hopped-Up Imperial Pilsner.,06/2014,"Brewed for the opening of our first bar in Italy, BrewDog Firenze. A mega-hoppy Imperial Pilsner, with toasty malt complexity and tropical New World hops.",https://images.punkapi.com/v2/64.png,8.0,35.0,15.0,7.5,4.4,"Extra Pale, Munich, Dextrose Saaz, Hallertauer Mittelfrüh, Pacifica, Pacific Jade, Pacifica, Pacific Jade, Pacifica Wyeast 2007 - Pilsen Lager™","Seared lemon and herb salmon, Crab linguine, Almond biscotti",Sam Mason,"Extra Pale, Munich, Dextrose","Saaz, Hallertauer Mittelfrüh, Pacifica, Pacific Jade, Pacifica, Pacific Jade, Pacifica",Wyeast 2007 - Pilsen Lager™
65,Bracken's Porter,A Tribute To Our Favourite 4 Pawed Friend.,03/2013,"The beer was named Bracken’s Porter as a tribute to our favourite four pawed friend who sadly passed in 2013. Chocolately, robust, warming, laid back and lots of fun - there are plenty of similarities between the two. Bracken we miss you and we hope you like your beer. Long live the original BrewDog.",https://images.punkapi.com/v2/keg.png,5.0,50.0,110.0,55.0,4.4,"Extra Pale, Dark Crystal, Roasted Barley, Black Malt Vic Secret, Bramling Cross, Challenger Wyeast 1056 - American Ale™","Grilled vegetable and chicken teriyaki skewers, Chilli covered burger (Sloppy Joe), Candied bacon topped chocolate cheesecake",Sam Mason,"Extra Pale, Dark Crystal, Roasted Barley, Black Malt","Vic Secret, Bramling Cross, Challenger",Wyeast 1056 - American Ale™
66,Tokyo Rising Sun - Lowland,A Beautiful Accident.,06/2009,"A forgotten gem in the deepest, darkest corner of the warehouse. Aged in a Lowland whisky cask resulting in decadent chocolate, toasted vanilla, indulgent spiced fruit, a mesmerizingly hypnotic mouthfeel and new layers that emerge on every sip.",https://images.punkapi.com/v2/66.png,13.2,85.0,140.0,71.0,4.4,"Extra Pale, Dark Crystal, Chocolate, Roasted Barley Chinook, Galena, Chinook, Galena, Galena, First Gold, Chinook WLP099 - Super High Gravity Ale","Duck liver paté, Mutton stew, Kirsch chocolate truffles",Sam Mason,"Extra Pale, Dark Crystal, Chocolate, Roasted Barley","Chinook, Galena, Chinook, Galena, Galena, First Gold, Chinook",WLP099 - Super High Gravity Ale
67,Hunter Foundation Pale Ale,American Pale Ale.,05/2012,"This straight-up US style pale ale uses some of our favourite hops against a toasty malt base. We brewed this with Sir Tom Hunter at our Fraserburgh brewery - to add a charitable element to your own version, feel free to share this citrusy pale ale with your friends. Or don't, it's your choice.",https://images.punkapi.com/v2/67.png,5.4,35.0,11.5,5.75,4.4,"Maris Otter Extra Pale, Munich Amarillo, Simcoe, Amarillo, Citra Wyeast 1056 - American Ale™","Monterey Jack stuffed grilled jalepenos, Barbecue corn and steak fajita seasoned wrap, Cinnamon & white chocolate churro",Sam Mason,"Maris Otter Extra Pale, Munich","Amarillo, Simcoe, Amarillo, Citra",Wyeast 1056 - American Ale™
68,Hype,New Zealand Pale Ale.,08/2007,A perfect pale ale showcase for the tropical profile of New Zealand hops and the intense citrus of US hops.,https://images.punkapi.com/v2/keg.png,4.1,65.0,17.0,8.5,4.4,"Maris Otter Extra Pale Nelson Sauvin, Nelson Sauvin, Amarillo Wyeast 1272 - American Ale II™","Quince cheese, Shredded chicken and mango salsa taquitos, Poached pear",Sam Mason,Maris Otter Extra Pale,"Nelson Sauvin, Nelson Sauvin, Amarillo",Wyeast 1272 - American Ale II™
69,AB:16,Coffee-Infused Belgian Quad.,02/2014,"On the nose, clove and nutmeg, cafe au lait, subtle dark fruit notes, and hints of candied lemon peel. On the palate, smooth & fruity espresso, milk chocolate, and warm brandy-soaked currants are in the middle of a high-class dance-off against the spicy and peppery Belgian character. The overall impression evokes malt loaf or ginger cake.",https://images.punkapi.com/v2/69.png,10.6,55.0,30.0,15.0,4.4,"Extra Pale, Wheat, Munich, Crystal 150, Chocolate Waimea, Saaz, Fuggles Wyeast 3787 - Trappist High Gravity™","Roasted duck, Gorgonzola and rye nut bread with smoked honey ham, Raspberry coffee cheesecake",Ali Skinner,"Extra Pale, Wheat, Munich, Crystal 150, Chocolate","Waimea, Saaz, Fuggles",Wyeast 3787 - Trappist High Gravity™
70,Sunmaid Stout,Rum & Raisin Imperial Stout.,12/2011,"Brewed by Chris Sartori from Stone Brewing Company in 2010. A dark chocolate stout with dried dark fruit finish. Simcoe provides bitterness with subtle fruity supporting notes, contrasting the chocolate and coffee-laden malt profile. The finish is warming with vanilla and rich dark fruit depth.",https://images.punkapi.com/v2/keg.png,10.2,50.0,197.0,100.0,4.4,"Pale Ale - Tipple, Chocolate, Carafa Special Malt Type 3, Crystal, Flaked Oats Simcoe, Challenger Wyeast 1272 - American Ale II™","Lapin aux pruneaux (braised rabbit with prunes), Gouda cheese, Dark chocolate truffles",Sam Mason,"Pale Ale - Tipple, Chocolate, Carafa Special Malt Type 3, Crystal, Flaked Oats","Simcoe, Challenger",Wyeast 1272 - American Ale II™
71,Pale - Russian Doll,Nesting Hop Bomb.,08/2014,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each.",https://images.punkapi.com/v2/71.png,4.0,35.0,45.0,22.5,5.2,"Extra Pale, Caramalt, Dark Crystal Cascade, Centennial, Citra, Simcoe, Simcoe, Cascade, Centennial, Citra Wyeast 1056 - American Ale™","Roast chicken with vegetables and wild rice, Fresh pico de gallo with corn tortilla, Carrot cake",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","Cascade, Centennial, Citra, Simcoe, Simcoe, Cascade, Centennial, Citra",Wyeast 1056 - American Ale™
72,Whisky Sour - B-Sides,Pilot Brew - Deconstructed Whisky Sour.,03/2015,"Deconstructed whisky sour, reconstructed as a beer.",https://images.punkapi.com/v2/keg.png,7.0,20.0,12.0,6.0,3.2,"Extra Pale, Acidulated Malt, Wheat Malt, Rye, Special W Amarillo, Citra, Simcoe, Amarillo, Citra, Simcoe, Amarillo, Citra, Simcoe Wyeast 1272 - American Ale II™","Potted fresh & smoked salmon, Spiced nut loaf, Lemon poppyseed donuts",Sam Mason,"Extra Pale, Acidulated Malt, Wheat Malt, Rye, Special W","Amarillo, Citra, Simcoe, Amarillo, Citra, Simcoe, Amarillo, Citra, Simcoe",Wyeast 1272 - American Ale II™
73,Black Eyed King Imp - Vietnamese Coffee Edition,Vietnamese Coffee Edition.,12/2014,"This is the Vietnamese Coffee Edition. At 12.7% ABV, Black Eyed King Imp is a super intense and twistedly complex brew, with intense notes of sweet vanilla, rich espresso, smooth molasses and bitter chocolate barely contained by the whatever container it's in.",https://images.punkapi.com/v2/73.png,12.7,85.0,250.0,125.0,5.2,"Extra Pale, Wheat, Caramalt, Crystal, Dark Crystal, Amber, Brown, Chocolate, Roasted Barley Magnum, Willamette, First Gold Wyeast 1272 - American Ale II™","Bacon sandwich with brown sauce, 20hr smoked brisket, Chocolate fudge ice cream",Sam Mason,"Extra Pale, Wheat, Caramalt, Crystal, Dark Crystal, Amber, Brown, Chocolate, Roasted Barley","Magnum, Willamette, First Gold",Wyeast 1272 - American Ale II™
74,Eurotrash,Belgian Blonde.,10/2009,"Trashy Blonde with a Belgian Twist. Clove oil, red apples and a drier mouthfeel set this beer apart from its older sister.",https://images.punkapi.com/v2/keg.png,4.1,52.0,17.0,8.5,5.2,"Extra Pale, Caramalt, Munich Simcoe, Amarillo, Simcoe, Amarillo, Motueka, Simcoe, Amarillo, Motueka, Simcoe, Amarillo, Motueka Wyeast 3522 - Belgian Ardennes™","Grilled fish salad, Angelfood cake, Pad Thai",Sam Mason,"Extra Pale, Caramalt, Munich","Simcoe, Amarillo, Simcoe, Amarillo, Motueka, Simcoe, Amarillo, Motueka, Simcoe, Amarillo, Motueka",Wyeast 3522 - Belgian Ardennes™
75,Never Mind The Anabolics,Performance-Enhancing India Pale Ale.,06/2012,"Never Mind the Anabolics, a 6.5% India Pale Ale brewed with copious amounts of performance-enhancing natural ingredients. Brewed to commemorate the 2012 Olympics and its merry marketing bandwagon.",https://images.punkapi.com/v2/75.png,6.5,35.0,23.0,11.5,4.4,"Extra Pale - Spring Blend, Wheat, Caramalt Motueka, Motueka Wyeast 1056 - American Ale™","Grilled chicken salad with bacon and avocado, Red pepper houmous and flat bread, Matcha green tea cake",Sam Mason,"Extra Pale - Spring Blend, Wheat, Caramalt","Motueka, Motueka",Wyeast 1056 - American Ale™
76,#Mashtag 2013,Democratic American Brown Ale.,05/2013,"A rich, nutty Brown Ale with a deep, rich malt profile, hopped with a range of citrusy and spicy US varieties. Mellow yet endlessly complex, with enough chocolate and fruit character to balance the bitterness, and a soft oaky roundness.",https://images.punkapi.com/v2/76.png,7.5,50.0,40.0,20.0,4.4,"Extra Pale, Dark Crystal, Caramalt, Amber, Chocolate Motueka, Magnum, Cascade, Amarillo, Cascade, Amarillo, Willamette Wyeast 1272 - American Ale II™","Roast beef, Roasted butternut squash, Hazelnut brittle",Sam Mason,"Extra Pale, Dark Crystal, Caramalt, Amber, Chocolate","Motueka, Magnum, Cascade, Amarillo, Cascade, Amarillo, Willamette",Wyeast 1272 - American Ale II™
77,Hobo Pop,2013 Prototype Rye Pale Ale.,11/2013,"Brewed with mountains of Wheat, Rye, Cara and Crystal malts, fermented with an American ale yeast and bittered with Amarillo & Centennial, this 4.2% beer is what happens if something classy like a European wheat beer goes to live in Vegas. Zingy citrus hops and a punchy bitterness bolster this low ABV pale.",https://images.punkapi.com/v2/77.png,4.2,50.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Crystal 150, Wheat, Rye Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo, Centennial Wyeast 1056 - American Ale™","Mozzarella and tomato baked chicken, Spiced shrimp salad, Strawberry cheescake",Ali Skinner,"Extra Pale, Caramalt, Crystal 150, Wheat, Rye","Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo, Centennial",Wyeast 1056 - American Ale™
78,AB:18,Imperial Brown Ale Aged In Rum Casks.,10/2011,"AB:18 began life as an Imperial Brown Ale before we bombarded it with Scottish tayberries and Purple raspberries and locked it away in rum barrels for two years, infusing rich dark fruit flavours and oaky warmth into the mix.",https://images.punkapi.com/v2/78.png,11.8,80.0,115.0,57.5,5.2,"Extra Pale - Spring Blend, Caramalt, Dark Crystal, Carafa Special Malt Type 1, Chocolate, Brown, Flaked Oats Galena, Willamette, First Gold Wyeast 1272 - American Ale II™","Kippers and poached eggs, Slow cooked lamb shoulder with mint sauce, Apple and blackcurrant cobbler",Sam Mason,"Extra Pale - Spring Blend, Caramalt, Dark Crystal, Carafa Special Malt Type 1, Chocolate, Brown, Flaked Oats","Galena, Willamette, First Gold",Wyeast 1272 - American Ale II™
79,Hops Kill Nazis,Imperial Red Ale.,08/2011,"5AM Saint's big brother. Dry- hopping with Chinook gave Hops Kill Nazis a full-on, instantly recognisable US hop character - huge resinous aromas (think giant redwood) with a bitter grapefruit edge. The caramel malts bring flavours of toffee and burnt sugar, which gave Hops Kill Nazis a big, complex malt base supporting the intense hopping.",https://images.punkapi.com/v2/79.png,7.6,70.0,59.0,29.5,4.4,"Maris Otter Extra Pale, Caramalt, Crystal 150 Chinook, Chinook, Centennial, Chinook Wyeast 1272 - American Ale II™","Candied almond and blue cheese rocket salad, Chicken Tikka Madras, Pecan pie",Sam Mason,"Maris Otter Extra Pale, Caramalt, Crystal 150","Chinook, Chinook, Centennial, Chinook",Wyeast 1272 - American Ale II™
80,AB:04,"Imperial Stout With Coffee, Loads Of Cocoa And Chilli.",08/2010,"Imperial Stout brewed with coffee, cocoa, Naga chillies (the hottest in the world), and champagne yeast. Possibly our most acclaimed Abstrakt yet.",https://images.punkapi.com/v2/80.png,15.0,80.0,400.0,200.0,4.0,"Pale Ale, Wheat Malt, Flaked Oats, Dark Crystal 350, Chocolate, Black Patent First Gold, Fuggles, Fuggles, Coffee Beans Wyeast 1272 - American Ale II™","Beef mahaca on corn tortillas, Chilli and dark chocolate tart, Epoisses cheese",Sam Mason,"Pale Ale, Wheat Malt, Flaked Oats, Dark Crystal 350, Chocolate, Black Patent","First Gold, Fuggles, Fuggles, Coffee Beans",Wyeast 1272 - American Ale II™
81,India Session Lager - Prototype Challenge,Refreshing Hop Fix.,11/2015,"BrewDog’s level of dry-hop to a beer formed with a baseline of 100% pilsner malt – and at under 4.5% ABV – gives you a style that flirts at the edges of several others. Think aromas of fresh cut grass, nettle, white grape, melon, tangerine - with similar flavours leading to a dry, bitter finish.",https://images.punkapi.com/v2/keg.png,4.4,35.0,12.0,6.0,4.4,"Pilsner, Dextrin Malt Chinook, Amarillo, Simcoe, Citra, Mosaic, Amarillo, Simcoe, Citra Wyeast 2007 - Pilsen Lager™","Tomato and rosemary palmiers, Bratwurst with sauerkraut, Lemon drizzle cake",Sam Mason,"Pilsner, Dextrin Malt","Chinook, Amarillo, Simcoe, Citra, Mosaic, Amarillo, Simcoe, Citra",Wyeast 2007 - Pilsen Lager™
82,Hopped-Up Brown Ale - Prototype Challenge,Malt Hop Balance.,01/2016,"Brown ales are perfect foils for resinous C-Hops, as the piney elements of the latter contrast brilliantly with the sweeter, nutty elements of the malt bill. The best of both worlds.",https://images.punkapi.com/v2/82.png,6.3,85.0,24.0,12.0,4.2,"Extra Pale, Flaked Oats, Brown, Crystal 150, Munich, Carafa Special Malt Type 1 Columbus, Simcoe, Centennial, Columbus, Simcoe, Citra Wyeast 1056 - American Ale™","Butternut squash and sage soup, Roast beef and horseradish sandwich, Fudge",Sam Mason,"Extra Pale, Flaked Oats, Brown, Crystal 150, Munich, Carafa Special Malt Type 1","Columbus, Simcoe, Centennial, Columbus, Simcoe, Citra",Wyeast 1056 - American Ale™
83,Comet,Single Hop India Pale Ale,02/2014,"A potently bitter hop variety originally grown in the US around 40 years ago, Comet has been newly resurrected - this German version has bold resinous grapefruit flavours, which add a huge fresh hop aroma to this IPA.",https://images.punkapi.com/v2/83.png,7.2,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal Comet, Comet, Comet, Comet Wyeast 1056 - American Ale™","Margherita pizza with chili flakes, Spicy Thai peanut satay, Panna cotta with a grapefruit tuile",Ali Skinner,"Extra Pale, Caramalt, Dark Crystal","Comet, Comet, Comet, Comet",Wyeast 1056 - American Ale™
84,Baby Saison - B-Sides,Trial Baby Saison.,08/2015,A hark back to the origins of Saison; slight spice and earthy notes with highlights of lemon and pepper make a beer that could quench the thirst of any seasonal worker.,https://images.punkapi.com/v2/keg.png,3.6,9.0,2.0,1.0,4.4,"Pilsner, Munich, Amber Sorachi Ace, Sorachi Ace, Mosaic, Amarillo Wyeast 3711 - French Saison™","Pork chop with rosemary chips, Steak tartare, Belgian waffles",Matt Ball,"Pilsner, Munich, Amber","Sorachi Ace, Sorachi Ace, Mosaic, Amarillo",Wyeast 3711 - French Saison™
85,Santa Paws,Christmas Scoth Ale.,10/2010,"A 4.5% decadent scotch ale brewed with Scottish heather honey. A robust malty beer packed with flavour, at a strength you can drink all (Christmas) day long. Santa Paws is our antidote to the chaos of the festive season. All the flavours of Christmas pudding in liquid form.",https://images.punkapi.com/v2/85.png,4.5,35.0,44.0,22.0,4.4,"Extra Pale, Munich, Dark Crystal, Wheat, Flaked Oats, Carafa Special Malt Type 3, Amber, Weyermann Beech Smoked First Gold, Willamette, Hallertauer Mittelfrüh Wyeast 1056 - American Ale™","French onion soup, Braised pheasant, Caramel sauce and hot fudge",Sam Mason,"Extra Pale, Munich, Dark Crystal, Wheat, Flaked Oats, Carafa Special Malt Type 3, Amber, Weyermann Beech Smoked","First Gold, Willamette, Hallertauer Mittelfrüh",Wyeast 1056 - American Ale™
86,Original Dogma (Née Speedball),Strong Ale With Honey And Spices.,07/2008,"A strong ale, brewed with guarana, Californian poppy, kola nut and Scottish heather honey. A conspiracy of trans-continental ingredients infused with some devastatingly BrewDog imaginative thinking.",https://images.punkapi.com/v2/86.png,7.8,60.0,31.0,15.5,4.3,"Extra Pale, Munich, Amber, Dark Crystal Amarillo, Amarillo, Bobek, Guarana Powder, Kola Nut Powder, Poppy Seed, Heather Honey Safale US-05","Spicy seafood stew, French onion soup, Mexican wedding cake (cookies)",Sam Mason,"Extra Pale, Munich, Amber, Dark Crystal","Amarillo, Amarillo, Bobek, Guarana Powder, Kola Nut Powder, Poppy Seed, Heather Honey",Safale US-05
87,Alpha Pop,Hoppy Rye Pale Ale.,03/2014,"A hoppy Rye Ale loaded with an avalanche of citrus and resinous flavours. Columbus, our high-alpha friend, lends a huge pithy citrus blast, with Ahtanum providing a punchy tropical fruit back-up. Brewing with rye adds a spiciness to the speciality malt caramel backbone, giving a warm ginger snap flavour, before slowly the hops, barley and rye combine and build to an orangey, biscuity, almost chocolatey crescendo.",https://images.punkapi.com/v2/87.png,4.5,30.0,25.0,12.5,4.4,"Extra Pale, Caramalt, Dark Crystal, Rye Columbus, Columbus, Ahtanum, Ahtanum, Ahtanum, Columbus Wyeast 1056 - American Ale™","Spicy lamb tikka masala, Spicy beef and Mexican black bean burger, Poached cinnamon apple muffins",Sam Mason,"Extra Pale, Caramalt, Dark Crystal, Rye","Columbus, Columbus, Ahtanum, Ahtanum, Ahtanum, Columbus",Wyeast 1056 - American Ale™
88,Bavarian Weizen,Unleash the Yeast Series.,09/2013,"Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. Bavarian Weizen yeast adds traditional weissbier notes of banana and clove.",https://images.punkapi.com/v2/88.png,6.3,55.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal, Munich Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo WLP351 - Bavarian Weizen","Spicy paella, German bratwurst with spicy mustard dip and vinaigrette salad, Creamy eggs benedict",Ali Skinner,"Extra Pale, Caramalt, Dark Crystal, Munich","Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo",WLP351 - Bavarian Weizen
89,Citra,Single Hop IPA Series – 2011.,01/2011,"The Pacific North West of America is home to the Citra hop. America is not just about cheer leaders, a silly version of football, elastic top jeans and cheeseburgers. They grow remarkable hops and Citra is a killer example of this, embodying all that is good about American hops and then some. Fearfully hard to resist, this beer is loaded with brash citrus, grapefruit, orange, hints of resinous pine and touches of blackcurrant. Devilishly moreish.",https://images.punkapi.com/v2/89.png,7.5,70.0,30.0,15.0,4.4,"Extra Pale, Crystal 150, Caramalt Citra, Citra, Citra Wyeast 1056 - American Ale™","Lemon and herb salmon, Sharp cheddar with mango chutney, Shredded chicken tacos with pico de gallo",Sam Mason,"Extra Pale, Crystal 150, Caramalt","Citra, Citra, Citra",Wyeast 1056 - American Ale™
90,#Mashtag 2015,US Hopped Black Barley Wine.,05/2015,"Democratically voted on by you and the BrewDog beer community. A wonderfully burnt toast malt backbone, loaded with American Hops for floral, citrus flavours and warm boozy vanilla and toasted oak.",https://images.punkapi.com/v2/90.png,10.0,85.0,130.0,65.0,4.4,"Pale Ale, Munich, Caramalt, Special W, Carafa Special Malt Type 1, Carafa Special Malt Type 3 Nugget, Columbus, Centennial, Simcoe, Centennial, Simcoe, Willamette, Centennial, Simcoe, Willamette Wyeast 1272 - American Ale II™","Charcuterie platter (featuring Italian salami), Blue cheese wedge salad, Rich dark chocolate volcano cake",Sam Mason,"Pale Ale, Munich, Caramalt, Special W, Carafa Special Malt Type 1, Carafa Special Malt Type 3","Nugget, Columbus, Centennial, Simcoe, Centennial, Simcoe, Willamette, Centennial, Simcoe, Willamette",Wyeast 1272 - American Ale II™
91,Dead Pony Club,West Coast Kicks. Citrusy. Zesty. Bright.,03/2012,"Our California style West Coast IPA has light toffee and caramel notes layered on biscuit malt, supporting a huge, fresh citrus aroma, with lemongrass, lime zest, grapefruit peel, alongside some tropical notes, courtesy of some heavy-hitting US hops.",https://images.punkapi.com/v2/91.png,3.8,35.0,25.0,12.7,4.4,"Extra Pale, Caramalt, Crystal 150 Simcoe, Citra, Simcoe, Citra, Simcoe, Citra, Mosaic Wyeast 1056 - American Ale™","Baja style fish tacos, Jerk chicken, Apple crumble",Sam Mason,"Extra Pale, Caramalt, Crystal 150","Simcoe, Citra, Simcoe, Citra, Simcoe, Citra, Mosaic",Wyeast 1056 - American Ale™
92,AB:09,Cranachan Imperial Stout.,11/2010,"This Cranachan Imperial Stout was inspired by the famous Scottish dessert, and brewed with a mountain of dark malts, loads of oats, Scottish heather honey and local raspberries. The beer was then transferred to oak casks to mature for 6 months.",https://images.punkapi.com/v2/92.png,11.6,77.0,265.0,132.5,5.2,"Maris Otter Extra Pale, Carafa Special Malt Type 1, Flaked Oats, Crystal 150, Dark Crystal 350-400 Fuggles, Fuggles Champagne","Aged cheddar with honey and raspberry chutney, Rich beef stew with winter vegetables and a dash of honey, Scottish raspberry cranachan parfait",Sam Mason,"Maris Otter Extra Pale, Carafa Special Malt Type 1, Flaked Oats, Crystal 150, Dark Crystal 350-400","Fuggles, Fuggles",Champagne
93,Mango Gose - B-Sides,Hoppy Mango Gose.,07/2015,"Kettle soured hoppy mango gose. A delicate balance of sweet, juicy mango, sour lime and salinity.",https://images.punkapi.com/v2/keg.png,6.4,40.0,10.0,5.0,3.5,"Extra Pale, Wheat Malt, Dark Crystal Sorachi Ace, Amarillo, Sorachi Ace, Amarillo Wyeast 1056 - American Ale™","Okra fries, Sea bass ceviche, Sea salt fudge",Sam Mason,"Extra Pale, Wheat Malt, Dark Crystal","Sorachi Ace, Amarillo, Sorachi Ace, Amarillo",Wyeast 1056 - American Ale™
94,Everday Anarchy,White Wine Barrel-Aged Imperial Red Saison.,06/2013,"This French white wine barrel aged Imperial Saison has a plethora of intertwining flavours. Huge aromas of peach, syrup, tangerine, sherry, toffee and raisin, followed by a dynamic bracing acidity.",https://images.punkapi.com/v2/94.png,10.5,45.0,15.0,7.5,4.4,"Extra Pale, Caramalt, Wheat, Rye Motueka, Saaz, Bobek, Saaz, Bobek Wyeast 3711 - French Saison™","Spiced carrot and coriander soup, Spicy chilli king prawns, Orange zest tart",Sam Mason,"Extra Pale, Caramalt, Wheat, Rye","Motueka, Saaz, Bobek, Saaz, Bobek",Wyeast 3711 - French Saison™
95,Peroxide Punk,Zesty Pale Ale.,04/2007,"A trashy blonde concession for those who felt that our original 6% Punk IPA recipe was too hard hitting. This was also the first time we experimented with dry hopping our beers, giving Peroxide Punk a depth of flavour that belies its modest ABV. Zesty, aromatic and thirst quenching.",https://images.punkapi.com/v2/keg.png,4.0,40.0,18.0,9.0,4.4,"Maris Otter Amarillo, Simcoe, Amarillo, Crystal, Liberty, Simcoe, Amarillo Wyeast 1056 - American Ale™","Sashimi, Pan roasted poussin with spring veg, Lemon and thyme panna cotta",Sam Mason,Maris Otter,"Amarillo, Simcoe, Amarillo, Crystal, Liberty, Simcoe, Amarillo",Wyeast 1056 - American Ale™
96,Lumberjack Stout,Blueberry Bacon Stout.,12/2013,"Lumberjack Stout is an intense beast that took its inspriation from what an actual bona-fide lumberjack might have for breakfast. Flavours of molasses, chocolate, smoke, berry, coffee and more, with a low bitterness, leaning this beer firmly towards the malty side.",https://images.punkapi.com/v2/keg.png,15.2,20.0,158.0,79.0,4.4,"Extra Pale, Carafa Special Malt Type 3, Flaked Oats, Smoked Malt, Crystal Galena, Willamette Wyeast 1272 - American Ale II™","Maple syrup drizzled chocolate chip pancakes, Fried bacon with crispy honeycomb bits, Coffee cake",Ali Skinner,"Extra Pale, Carafa Special Malt Type 3, Flaked Oats, Smoked Malt, Crystal","Galena, Willamette",Wyeast 1272 - American Ale II™
97,Bowman's Beard - B-Sides,English Barley Wine.,03/2015,"Ice-distilled double barley wine brewed by Chris from Stone Brewing Co. (see Sunmaid Stout) and BrewDog's own brewers. As robust, resinous and badass as its eponymic beard.",https://images.punkapi.com/v2/keg.png,18.3,50.0,15.0,8.0,5.3,"Extra Pale, Rye, CaraAroma, Caramunich, Brown, Caramalt, Crystal, Munich Motueka, First Gold, Galena, Motueka, First Gold, Galena Wyeast 1056 - American Ale™ & Wyeast 1272 - American Ale II™","Celery and stilton soup, Salted caramel soufflé",Sam Mason,"Extra Pale, Rye, CaraAroma, Caramunich, Brown, Caramalt, Crystal, Munich","Motueka, First Gold, Galena, Motueka, First Gold, Galena",Wyeast 1056 - American Ale™ & Wyeast 1272 - American Ale II™
98,Pumpkin King,Spicy Citrus Pumpkin Ale.,08/2015,"We're turning Hallowe’en inside out and upside down. Pumpkin King is not your usual unctuous, cloyingly sweet Hallowe’en pumpkin ale. Sure, there’s a huge heady hit of pungent spice on the nose, but it’s followed with bright and zesty citrus flavours, and a light mouthfeel. Spicy and sweet autumnal favourites like toasted marshmallow and toffee apple are just some of the complex notes you’ll find in our twisted take on a pumpkin ale, which weighs in at 5.4% ABV.",https://images.punkapi.com/v2/98.png,5.4,20.0,30.0,15.0,4.4,"Extra Pale, Munich, Dark Crystal, Amber Magnum, Willamette, First Gold Wyeast 1272 - American Ale II™","Creamy maple syrup and bacon soup, Chunky chicken and vegetable spiced stew, Pumpkin pie",Sam Mason,"Extra Pale, Munich, Dark Crystal, Amber","Magnum, Willamette, First Gold",Wyeast 1272 - American Ale II™
